dataset,instance,seed,checkpoint_s,score_at_checkpoint,progress_to_final_improvement
synthetic,input/synthetic/synthetic_20.txt,56,600,29697900.0,1.0
synthetic,input/synthetic/synthetic_60.txt,100,0,18662994.0,0.0
synthetic,input/synthetic/synthetic_60.txt,100,30,18667716.0,1.0
synthetic,input/synthetic/synthetic_60.txt,100,60,18667716.0,1.0
synthetic,input/synthetic/synthetic_60.txt,100,120,18667716.0,1.0
synthetic,input/synthetic/synthetic_60.txt,100,300,18667716.0,1.0
synthetic,input/synthetic/synthetic_60.txt,100,600,18667716.0,1.0
synthetic,input/synthetic/synthetic_60.txt,89,0,18662994.0,0.0
synthetic,input/synthetic/synthetic_60.txt,89,30,18667893.0,0.4845218079319553
synthetic,input/synthetic/synthetic_60.txt,89,60,18667893.0,0.4845218079319553
synthetic,input/synthetic/synthetic_60.txt,89,120,18667893.0,0.4845218079319553
synthetic,input/synthetic/synthetic_60.txt,89,300,18668829.0,0.5770942537830086
synthetic,input/synthetic/synthetic_60.txt,89,600,18673105.0,1.0
seed_based,input/seed_based/ce_060x_012t.txt,1,0,12973556.0,0.0
seed_based,input/seed_based/ce_060x_012t.txt,1,30,13009936.0,0.9220163722533391
seed_based,input/seed_based/ce_060x_012t.txt,1,60,13011296.0,0.9564842740198191
seed_based,input/seed_based/ce_060x_012t.txt,1,120,13011937.0,0.9727298071318143
seed_based,input/seed_based/ce_060x_012t.txt,1,300,13012993.0,0.9994931190916694
seed_based,input/seed_based/ce_060x_012t.txt,1,600,13013013.0,1.0
seed_based,input/seed_based/ce_060x_012t.txt,12,0,12973556.0,0.0
seed_based,input/seed_based/ce_060x_012t.txt,12,30,13010025.0,0.9010921130658233
seed_based,input/seed_based/ce_060x_012t.txt,12,60,13011568.0,0.9392172366080253
seed_based,input/seed_based/ce_060x_012t.txt,12,120,13012739.0,0.9681508203202214
seed_based,input/seed_based/ce_060x_012t.txt,12,300,13013709.0,0.9921180075113659
seed_based,input/seed_based/ce_060x_012t.txt,12,600,13014028.0,1.0
seed_based,input/seed_based/ce_060x_012t.txt,23,0,12973556.0,0.0
seed_based,input/seed_based/ce_060x_012t.txt,23,30,13010708.0,0.9143757229701459
seed_based,input/seed_based/ce_060x_012t.txt,23,60,13011610.0,0.9365755211537988
seed_based,input/seed_based/ce_060x_012t.txt,23,120,13012403.0,0.95609263862568
seed_based,input/seed_based/ce_060x_012t.txt,23,300,13014086.0,0.9975142132854224
seed_based,input/seed_based/ce_060x_012t.txt,23,600,13014187.0,1.0
seed_based,input/seed_based/ce_060x_012t.txt,34,0,12973556.0,0.0
seed_based,input/seed_based/ce_060x_012t.txt,34,30,13010946.0,0.9250599965362825
seed_based,input/seed_based/ce_060x_012t.txt,34,60,13012944.0,0.9744921942650734
seed_based,input/seed_based/ce_060x_012t.txt,34,120,13013924.0,0.9987382171750909
seed_based,input/seed_based/ce_060x_012t.txt,34,300,13013975.0,1.0
seed_based,input/seed_based/ce_060x_012t.txt,34,600,13013975.0,1.0
synthetic,input/synthetic/synthetic_20.txt,67,0,29666098.0,0.0
synthetic,input/synthetic/synthetic_20.txt,67,30,29688053.0,0.8737265202164916
synthetic,input/synthetic/synthetic_20.txt,67,60,29688053.0,0.8737265202164916
synthetic,input/synthetic/synthetic_20.txt,67,120,29690514.0,0.9716650748169373
synthetic,input/synthetic/synthetic_20.txt,67,300,29691226.0,1.0
synthetic,input/synthetic/synthetic_20.txt,67,600,29691226.0,1.0
synthetic,input/synthetic/synthetic_20.txt,100,0,29667543.0,0.0
synthetic,input/synthetic/synthetic_20.txt,100,30,29667543.0,0.0
synthetic,input/synthetic/synthetic_20.txt,100,60,29667543.0,0.0
synthetic,input/synthetic/synthetic_20.txt,100,120,29667652.0,0.006722585420007401
synthetic,input/synthetic/synthetic_20.txt,100,300,29676774.0,0.5693228074503516
synthetic,input/synthetic/synthetic_20.txt,100,600,29683757.0,1.0
synthetic,input/synthetic/synthetic_20.txt,78,0,29666098.0,0.0
synthetic,input/synthetic/synthetic_20.txt,78,30,29688480.0,0.7724590163934426
synthetic,input/synthetic/synthetic_20.txt,78,60,29688480.0,0.7724590163934426
synthetic,input/synthetic/synthetic_20.txt,78,120,29690633.0,0.8467644521138913
synthetic,input/synthetic/synthetic_20.txt,78,300,29692673.0,0.917169974115617
synthetic,input/synthetic/synthetic_20.txt,78,600,29695073.0,1.0
synthetic,input/synthetic/synthetic_20.txt,89,0,29666098.0,0.0
synthetic,input/synthetic/synthetic_20.txt,89,30,29688826.0,0.7714082069035739
synthetic,input/synthetic/synthetic_20.txt,89,60,29691011.0,0.8455690187693039
