timestamp,elapsed_s,phase,round,current_score,best_score,event
1780567597.3559837,7.103016138076782,construction,0,5340296,5340296,initial
1780567597.3563159,0.00031185150146484375,initial_ls,0,5340296,5340296,skipped
1780567602.13304,4.777036190032959,ils,5,5348248,5348248,new_best
1780567602.1340504,4.778046369552612,ils,5,5348248,5348248,status
1780567606.8746426,9.518638610839844,ils,10,5342498,5348248,status
1780567611.6311193,14.275115489959717,ils,15,5348248,5348248,status
1780567616.4583259,19.102322101593018,ils,20,5343950,5348248,status
1780567621.151966,23.79596257209778,ils,25,5348248,5348248,status
1780567625.9541862,28.598182201385498,ils,30,5348248,5348248,status
1780567628.0971222,30.74111795425415,restart,1,5345656,5348248,restart
1780567631.9107437,34.55473971366882,ils,35,5345656,5348248,status
1780567636.6122348,39.25623083114624,ils,40,5343950,5348248,status
1780567641.3988338,44.042829751968384,ils,45,5348248,5348248,status
1780567646.166226,48.810222148895264,ils,50,5348248,5348248,status
1780567650.8580472,53.50204300880432,ils,55,5348248,5348248,status
1780567655.839356,58.483351707458496,restart,2,5323691,5348248,restart
1780567656.7770417,59.421037673950195,ils,60,5330120,5348248,status
1780567661.431678,64.07567405700684,ils,65,5330120,5348248,status
1780567669.8504553,72.49445104598999,restart,3,5345656,5348248,restart
1780567673.5908403,76.23483657836914,ils,70,5348248,5348248,status
1780567678.242428,80.88642406463623,ils,75,5348248,5348248,status
1780567686.701953,89.34594893455505,restart,4,5348248,5348248,restart
1780567690.4320743,93.0760703086853,ils,80,5348248,5348248,status
1780567695.0458286,97.68982458114624,ils,85,5348248,5348248,status
1780567702.4927604,105.13675618171692,restart,5,5345656,5348248,restart
1780567707.1441584,109.7881543636322,ils,90,5348248,5348248,status
1780567711.787552,114.43154788017273,ils,95,5348248,5348248,status
1780567716.4536002,119.09759616851807,ils,100,5348248,5348248,status
1780567721.147749,123.79174494743347,ils,105,5348248,5348248,status
1780567725.7846541,128.42865014076233,ils,110,5340296,5348248,status
1780567730.477105,133.12110090255737,ils,115,5343950,5348248,status
1780567735.1076694,137.75166535377502,ils,120,5342498,5348248,status
1780567739.7440205,142.38801646232605,ils,125,5348248,5348248,status
