timestamp,elapsed_s,phase,round,current_score,best_score,event
1780567044.0363932,7.171082019805908,construction,0,5340296,5340296,initial
1780567044.036726,0.0003147125244140625,initial_ls,0,5340296,5340296,skipped
1780567045.9554207,1.9190092086791992,ils,2,5348248,5348248,new_best
1780567048.7831762,4.746764659881592,ils,5,5339797,5348248,status
1780567053.5635293,9.527117729187012,ils,10,5348248,5348248,status
1780567058.4042075,14.367796182632446,ils,15,5348248,5348248,status
1780567063.2160738,19.179662466049194,ils,20,5348248,5348248,status
1780567068.0183845,23.98197293281555,ils,25,5348248,5348248,status
1780567072.8023076,28.76589608192444,ils,30,5348248,5348248,status
1780567077.5702763,33.533865213394165,ils,35,5348248,5348248,status
1780567082.3878949,38.35148310661316,ils,40,5348248,5348248,status
1780567087.1405644,43.10415267944336,ils,45,5345656,5348248,status
1780567091.9385679,47.902156352996826,ils,50,5348248,5348248,status
1780567096.6835647,52.64715313911438,ils,55,5343950,5348248,status
1780567101.4841363,57.44772505760193,ils,60,5348248,5348248,status
1780567106.2266102,62.19019865989685,ils,65,5339203,5348248,status
1780567110.9757102,66.93929862976074,ils,70,5339797,5348248,status
1780567115.6664371,71.63002586364746,ils,75,5348248,5348248,status
1780567120.4446726,76.40826106071472,ils,80,5345656,5348248,status
1780567125.1722002,81.1357889175415,ils,85,5343950,5348248,status
1780567129.9631922,85.9267807006836,ils,90,5343950,5348248,status
1780567134.688881,90.65246939659119,ils,95,5348248,5348248,status
1780567139.4380918,95.40168023109436,ils,100,5343950,5348248,status
1780567144.2324002,100.19598865509033,ils,105,5348248,5348248,status
1780567148.9631312,104.92671990394592,ils,110,5348248,5348248,status
1780567150.172601,106.13618969917297,restart,1,5348248,5348248,restart
1780567154.9183471,110.88193583488464,ils,115,5348140,5348248,status
1780567159.6213536,115.58494234085083,ils,120,5348248,5348248,status
1780567164.4027407,120.36632943153381,ils,125,5345656,5348248,status
1780567169.2027004,125.16628909111023,ils,130,5345656,5348248,status
1780567174.0139658,129.97755432128906,ils,135,5345656,5348248,status
1780567178.8051288,134.76871705055237,ils,140,5348248,5348248,status
1780567183.6310687,139.59465718269348,ils,145,5343950,5348248,status
1780567191.679466,147.64305424690247,restart,2,5345656,5348248,restart
1780567196.4015586,152.36514711380005,ils,150,5345656,5348248,status
1780567201.117783,157.08137154579163,ils,155,5348248,5348248,status
