timestamp,elapsed_s,phase,round,current_score,best_score,event
1780567624.1207314,7.202122211456299,construction,0,5340296,5340296,initial
1780567624.1210423,0.0002918243408203125,initial_ls,0,5340296,5340296,skipped
1780567627.0062582,2.885507822036743,ils,3,5342498,5342498,new_best
1780567627.97021,3.849459648132324,ils,4,5343950,5343950,new_best
1780567628.9043489,4.7835986614227295,ils,5,5343950,5343950,status
1780567630.8386712,6.717921257019043,ils,7,5348248,5348248,new_best
1780567633.766463,9.645713090896606,ils,10,5348248,5348248,status
1780567644.8716147,20.750864267349243,restart,1,5340296,5348248,restart
1780567646.7693014,22.64855170249939,ils,15,5345656,5348248,status
1780567651.5322447,27.411494255065918,ils,20,5339906,5348248,status
1780567656.2367427,32.115992069244385,ils,25,5343950,5348248,status
1780567660.8655195,36.74476885795593,ils,30,5343950,5348248,status
1780567665.4885302,41.36777973175049,ils,35,5343950,5348248,status
1780567670.179276,46.05852556228638,ils,40,5339797,5348248,status
1780567674.7965806,50.675830125808716,ils,45,5348248,5348248,status
1780567679.4254,55.30464959144592,ils,50,5348248,5348248,status
1780567684.0639427,59.94319224357605,ils,55,5348248,5348248,status
1780567688.7056322,64.58488178253174,ils,60,5348248,5348248,status
1780567693.6623797,69.54162907600403,restart,2,5348248,5348248,restart
1780567694.6010196,70.48026919364929,ils,65,5348248,5348248,status
1780567699.2502441,75.12949347496033,ils,70,5342498,5348248,status
1780567703.9143362,79.79358625411987,ils,75,5348248,5348248,status
1780567708.6106083,84.4898579120636,ils,80,5343950,5348248,status
1780567713.2602642,89.13951373100281,ils,85,5348248,5348248,status
1780567717.9055204,93.78477001190186,ils,90,5342498,5348248,status
1780567719.1125646,94.99181389808655,restart,3,5322233,5348248,restart
1780567724.022705,99.90195441246033,restart,4,5345656,5348248,restart
1780567724.9591215,100.83837080001831,ils,95,5345656,5348248,status
1780567729.6475606,105.52681040763855,ils,100,5339797,5348248,status
1780567734.3400679,110.21931743621826,ils,105,5348248,5348248,status
1780567738.9734704,114.85272026062012,ils,110,5348248,5348248,status
1780567741.1166923,116.99594163894653,restart,5,5330120,5348248,restart
1780567745.123164,121.00241327285767,restart,6,5348248,5348248,restart
1780567746.0634193,121.94266891479492,ils,115,5348248,5348248,status
1780567750.6879375,126.56718730926514,ils,120,5348248,5348248,status
1780567754.6981387,130.577388048172,restart,7,5348248,5348248,restart
1780567756.5582347,132.4374840259552,ils,125,5348248,5348248,status
1780567761.2256467,137.10489654541016,ils,130,5348248,5348248,status
1780567764.265115,140.14436435699463,restart,8,5348248,5348248,restart
1780567767.0356183,142.9148678779602,ils,135,5348248,5348248,status
1780567771.7290103,147.60825991630554,ils,140,5348248,5348248,status
1780567776.3766212,152.25587058067322,ils,145,5348248,5348248,status
1780567781.3354275,157.21467685699463,restart,9,5348248,5348248,restart
1780567782.27425,158.15349960327148,ils,150,5348248,5348248,status
1780567786.9048538,162.7841031551361,ils,155,5348248,5348248,status
1780567790.901133,166.78038263320923,restart,10,5330120,5348248,restart
1780567792.7523973,168.63164687156677,ils,160,5330120,5348248,status
1780567794.8958628,170.7751121520996,restart,11,5348248,5348248,restart
1780567798.6210992,174.5003490447998,ils,165,5343950,5348248,status
1780567803.292831,179.1720802783966,ils,170,5348248,5348248,status
1780567807.948683,183.82793259620667,ils,175,5348248,5348248,status
1780567811.9702625,187.84951186180115,restart,12,5348248,5348248,restart
1780567813.8463175,189.72556710243225,ils,180,5348248,5348248,status
1780567818.478042,194.35729146003723,ils,185,5348248,5348248,status
1780567823.4021428,199.28139209747314,restart,13,5348248,5348248,restart
1780567824.335522,200.2147719860077,ils,190,5348248,5348248,status
1780567829.0325572,204.91180682182312,ils,195,5343950,5348248,status
1780567833.7152166,209.59446620941162,ils,200,5348248,5348248,status
1780567838.3888113,214.26806092262268,ils,205,5339797,5348248,status
1780567843.0641673,218.94341659545898,ils,210,5348248,5348248,status
1780567847.718783,223.5980327129364,ils,215,5348248,5348248,status
1780567852.388445,228.26769423484802,ils,220,5348248,5348248,status
1780567857.0616226,232.94087195396423,ils,225,5348248,5348248,status
1780567861.7385297,237.6177794933319,ils,230,5348248,5348248,status
1780567866.3828638,242.26211309432983,ils,235,5348248,5348248,status
1780567871.0308747,246.91012454032898,ils,240,5348248,5348248,status
1780567875.035645,250.91489434242249,restart,14,5348248,5348248,restart
1780567876.9049637,252.78421354293823,ils,245,5348248,5348248,status
1780567881.5550134,257.43426299095154,ils,250,5348248,5348248,status
1780567886.1967292,262.0759787559509,ils,255,5348248,5348248,status
1780567890.845773,266.7250225543976,ils,260,5348248,5348248,status
1780567895.7728953,271.65214490890503,restart,15,5345656,5348248,restart
1780567896.707605,272.5868546962738,ils,265,5343950,5348248,status
1780567901.3955536,277.2748031616211,ils,270,5348248,5348248,status
1780567906.0531373,281.93238711357117,ils,275,5348248,5348248,status
1780567907.2654343,283.14468359947205,restart,16,5317960,5348248,restart
1780567912.1827755,288.06202507019043,restart,17,5330120,5348248,restart
1780567913.1004152,288.9796645641327,ils,280,5330120,5348248,status
1780567916.148402,292.0276515483856,restart,18,5348248,5348248,restart
1780567918.937421,294.8166706562042,ils,285,5348248,5348248,status
1780567923.5837336,299.4629831314087,ils,290,5343950,5348248,status
1780567932.1810453,308.0602946281433,restart,19,5345656,5348248,restart
1780567935.9879148,311.8671643733978,ils,295,5348248,5348248,status
1780567940.6600316,316.53928112983704,ils,300,5348248,5348248,status
1780567944.6587389,320.53798842430115,restart,20,5348248,5348248,restart
1780567946.5211008,322.40035033226013,ils,305,5343950,5348248,status
1780567951.19338,327.0726296901703,ils,310,5348248,5348248,status
1780567955.872914,331.75216364860535,ils,315,5348248,5348248,status
1780567965.2560637,341.1353130340576,restart,21,5348248,5348248,restart
1780567968.0513365,343.93058609962463,ils,320,5348248,5348248,status
1780567972.7340403,348.61328959465027,ils,325,5348248,5348248,status
1780567977.3844638,353.2637138366699,ils,330,5342498,5348248,status
1780567982.05031,357.92955923080444,ils,335,5348248,5348248,status
1780567986.719444,362.59869360923767,ils,340,5348248,5348248,status
1780567991.3914514,367.2707009315491,ils,345,5348248,5348248,status
1780567996.0382087,371.91745829582214,ils,350,5348248,5348248,status
1780567998.179762,374.059011220932,restart,22,5348248,5348248,restart
1780568001.878294,377.7575435638428,ils,355,5348248,5348248,status
1780568006.536633,382.41588258743286,ils,360,5348248,5348248,status
1780568007.7424052,383.62165451049805,restart,23,5345656,5348248,restart
1780568012.414326,388.2935755252838,ils,365,5348248,5348248,status
1780568017.0465765,392.92582607269287,ils,370,5348248,5348248,status
1780568019.1735268,395.05277609825134,restart,24,5348248,5348248,restart
1780568022.9121625,398.79141211509705,ils,375,5348248,5348248,status
1780568027.572547,403.4517967700958,ils,380,5348248,5348248,status
1780568028.7845364,404.66378569602966,restart,25,5322233,5348248,restart
1780568033.4502726,409.32952213287354,ils,385,5330120,5348248,status
1780568034.6578531,410.5371026992798,restart,26,5323174,5348248,restart
1780568044.7924142,420.67166352272034,restart,27,5344220,5348248,restart
1780568046.6478267,422.5270764827728,ils,390,5339203,5348248,status
1780568051.270823,427.1500725746155,ils,395,5348248,5348248,status
1780568055.9248683,431.8041179180145,ils,400,5348248,5348248,status
1780568065.2156885,441.09493803977966,restart,28,5348248,5348248,restart
1780568068.0105667,443.8898162841797,ils,405,5348248,5348248,status
1780568072.6474316,448.5266811847687,ils,410,5343950,5348248,status
1780568080.9373183,456.81656765937805,restart,29,5345656,5348248,restart
1780568084.689653,460.5689024925232,ils,415,5348248,5348248,status
1780568089.3552864,465.2345356941223,ils,420,5348248,5348248,status
1780568094.2983267,470.17757630348206,restart,30,5348248,5348248,restart
1780568095.2366943,471.11594414711,ils,425,5348248,5348248,status
1780568099.920751,475.80000042915344,ils,430,5348248,5348248,status
1780568103.902482,479.7817313671112,restart,31,5348248,5348248,restart
1780568105.7581224,481.63737201690674,ils,435,5348248,5348248,status
1780568110.4479187,486.32716822624207,ils,440,5348248,5348248,status
1780568119.6408458,495.52009534835815,restart,32,5345656,5348248,restart
1780568122.4494805,498.3287298679352,ils,445,5339906,5348248,status
1780568127.1204526,502.9997022151947,ils,450,5348248,5348248,status
1780568131.771151,507.65040040016174,ils,455,5348248,5348248,status
1780568132.9809666,508.8602159023285,restart,33,5348248,5348248,restart
1780568137.6444738,513.5237231254578,ils,460,5348248,5348248,status
1780568142.6014478,518.4806971549988,restart,34,5308034,5348248,restart
1780568143.535293,519.4145426750183,ils,465,5323174,5348248,status
1780568153.742247,529.6214966773987,restart,35,5340296,5348248,restart
1780568155.6124673,531.4917166233063,ils,470,5348248,5348248,status
1780568160.2598677,536.1391172409058,ils,475,5348248,5348248,status
1780568170.0460339,545.9252834320068,restart,36,5345656,5348248,restart
1780568171.8982475,547.7774970531464,ils,480,5341358,5348248,status
1780568176.5334327,552.4126825332642,ils,485,5345656,5348248,status
1780568181.1958904,557.0751402378082,ils,490,5348248,5348248,status
1780568185.8705947,561.7498443126678,ils,495,5348248,5348248,status
1780568188.0335207,563.9127702713013,restart,37,5308034,5348248,restart
1780568191.789749,567.6689984798431,ils,500,5323174,5348248,status
1780568193.9344285,569.8136777877808,restart,38,5348248,5348248,restart
1780568197.6459126,573.5251619815826,ils,505,5348248,5348248,status
1780568202.2925272,578.1717767715454,ils,510,5348248,5348248,status
1780568203.523068,579.4023172855377,restart,39,5323691,5348248,restart
1780568208.2018728,584.0811223983765,ils,515,5330120,5348248,status
1780568209.4109702,585.2902195453644,restart,40,5348248,5348248,restart
1780568214.0109944,589.890243768692,ils,520,5348248,5348248,status
1780568217.8717873,593.7510366439819,restart,41,5330120,5348248,restart
1780568218.3888588,594.2681088447571,ils,525,5330120,5348248,status
1780568219.8941226,595.7733719348907,restart,42,5348248,5348248,restart
1780568220.920584,596.7998332977295,ils,530,5348248,5348248,status
1780568222.1044848,597.983734369278,ils,535,5348248,5348248,status
1780568222.8259342,598.705183506012,restart,43,5260360,5348248,restart
1780568223.0536635,598.9329133033752,ils,540,5260360,5348248,status
1780568223.2897298,599.1689791679382,restart,44,5348248,5348248,restart
1780568223.6311557,599.5104050636292,ils,545,5348248,5348248,status
1780568223.9986897,599.8779389858246,ils,550,5348248,5348248,status
1780568224.0555298,599.9347791671753,restart,45,5322233,5348248,restart
1780568224.1275153,600.006763458252,final,551,5348248,5348248,done_round_7
