timestamp,elapsed_s,phase,round,current_score,best_score,event
1780563324.1778939,5.156121253967285,construction,0,828,828,initial
1780563324.1779187,6.67572021484375e-06,initial_ls,0,828,828,skipped
1780563324.503932,0.3260197639465332,ils,1,869,869,new_best
1780563325.1783419,1.000429630279541,ils,5,869,869,status
1780563326.0788152,1.9009032249450684,ils,10,869,869,status
1780563326.1594985,1.9815864562988281,restart,1,852,869,restart
1780563326.929806,2.751893997192383,ils,15,869,869,status
1780563327.679661,3.50174880027771,ils,20,869,869,status
1780563332.839652,8.661739826202393,restart,2,869,869,restart
1780563333.5769453,9.399033546447754,ils,25,869,869,status
1780563339.3395712,15.161659002304077,restart,3,869,869,restart
1780563339.4520917,15.274179697036743,ils,30,869,869,status
1780563340.466586,16.288673877716064,ils,35,869,869,status
1780563346.0222495,21.844337463378906,restart,4,828,869,restart
1780563346.3609152,22.183003187179565,ils,40,869,869,status
1780563347.1526349,22.974722862243652,ils,45,869,869,status
1780563347.860378,23.68246603012085,restart,5,869,869,restart
1780563348.054456,23.87654399871826,ils,50,869,869,status
1780563348.9782798,24.800368070602417,ils,55,869,869,status
1780563354.515276,30.337363958358765,restart,6,852,869,restart
1780563354.7352364,30.557324409484863,ils,60,869,869,status
1780563355.716782,31.538870096206665,ils,65,869,869,status
1780563356.4283695,32.250457525253296,restart,7,869,869,restart
1780563356.66475,32.48683786392212,ils,70,869,869,status
1780563357.5967975,33.418885469436646,ils,75,869,869,status
1780563358.198984,34.021071910858154,restart,8,869,869,restart
1780563358.4354253,34.25751304626465,ils,80,869,869,status
1780563359.166301,34.988388776779175,ils,85,869,869,status
1780563359.4697099,35.29179787635803,restart,9,869,869,restart
1780563359.9264343,35.74852228164673,ils,90,869,869,status
1780563360.683297,36.50538468360901,ils,95,869,869,status
1780563360.9166574,36.73874545097351,restart,10,845,869,restart
1780563361.515164,37.33725190162659,ils,100,869,869,status
1780563362.5359588,38.358046531677246,ils,105,869,869,status
1780563367.8890312,43.711119174957275,restart,11,869,869,restart
1780563368.6612186,44.483306646347046,ils,110,869,869,status
1780563369.5161088,45.338196754455566,ils,115,869,869,status
1780563374.7059186,50.5280065536499,restart,12,869,869,restart
