timestamp,elapsed_s,phase,round,current_score,best_score,event
1780567596.7151134,6.8140549659729,construction,0,5340296,5340296,initial
1780567596.7154434,0.0003104209899902344,initial_ls,0,5340296,5340296,skipped
1780567597.6848884,0.9697551727294922,ils,1,5341358,5341358,new_best
1780567598.6270916,1.9119584560394287,ils,2,5345656,5345656,new_best
1780567601.5014455,4.7863123416900635,ils,5,5336611,5345656,status
1780567604.3480387,7.632905721664429,ils,8,5348248,5348248,new_best
1780567606.2906675,9.575534582138062,ils,10,5348248,5348248,status
1780567611.0826309,14.36749792098999,ils,15,5339797,5348248,status
1780567615.8435538,19.12842082977295,ils,20,5348248,5348248,status
1780567620.6332204,23.918087482452393,ils,25,5348248,5348248,status
1780567625.4630494,28.747916221618652,ils,30,5336562,5348248,status
1780567630.2003646,33.48523163795471,ils,35,5348248,5348248,status
1780567635.0038729,38.2887396812439,ils,40,5348248,5348248,status
1780567639.7901073,43.07497429847717,ils,45,5343950,5348248,status
1780567644.542653,47.82751965522766,ils,50,5348248,5348248,status
1780567649.305047,52.589914083480835,ils,55,5343950,5348248,status
1780567654.0249615,57.30982828140259,ils,60,5348248,5348248,status
1780567658.6625097,61.94737648963928,ils,65,5348248,5348248,status
1780567666.8376386,70.12250518798828,restart,1,5345656,5348248,restart
1780567670.5733855,73.85825204849243,ils,70,5343950,5348248,status
1780567675.1826944,78.4675612449646,ils,75,5348248,5348248,status
1780567679.832302,83.11716866493225,ils,80,5348248,5348248,status
1780567681.0438948,84.32876133918762,restart,2,5348248,5348248,restart
1780567685.675214,88.96008086204529,ils,85,5348248,5348248,status
1780567690.6283963,93.9132628440857,restart,3,5348248,5348248,restart
1780567691.5664532,94.85132002830505,ils,90,5348248,5348248,status
1780567696.2154784,99.50034499168396,ils,95,5339797,5348248,status
1780567700.8670979,104.15196466445923,ils,100,5348248,5348248,status
1780567705.554152,108.83901882171631,ils,105,5348248,5348248,status
1780567710.2261286,113.510995388031,ils,110,5342498,5348248,status
1780567718.5244732,121.80934000015259,restart,4,5345656,5348248,restart
1780567722.2611341,125.54600119590759,ils,115,5348248,5348248,status
1780567726.9205823,130.2054488658905,ils,120,5348248,5348248,status
1780567731.8583255,135.1431920528412,restart,5,5340296,5348248,restart
1780567732.7766724,136.06153917312622,ils,125,5345656,5348248,status
1780567737.466929,140.7517957687378,ils,130,5348248,5348248,status
1780567742.1490324,145.43389916419983,ils,135,5348248,5348248,status
1780567746.8007166,150.08558344841003,ils,140,5342498,5348248,status
1780567751.4841259,154.7689926624298,ils,145,5348248,5348248,status
1780567756.1694155,159.45428204536438,ils,150,5348248,5348248,status
1780567760.7862837,164.07115030288696,ils,155,5348248,5348248,status
1780567771.04055,174.3254165649414,restart,6,5344220,5348248,restart
1780567772.8949308,176.17979741096497,ils,160,5348248,5348248,status
1780567777.5367458,180.82161259651184,ils,165,5348248,5348248,status
1780567782.2018137,185.4866805076599,ils,170,5348248,5348248,status
1780567786.8282068,190.1130735874176,ils,175,5348248,5348248,status
1780567796.0189419,199.30380845069885,restart,7,5345656,5348248,restart
1780567798.8156645,202.1005311012268,ils,180,5348248,5348248,status
1780567803.4576323,206.74249911308289,ils,185,5348248,5348248,status
1780567814.5370994,217.82196593284607,restart,8,5345656,5348248,restart
1780567815.470952,218.75581860542297,ils,190,5345656,5348248,status
1780567820.119092,223.40395879745483,ils,195,5345656,5348248,status
1780567824.7401953,228.025062084198,ils,200,5348248,5348248,status
1780567829.3801148,232.66498136520386,ils,205,5348248,5348248,status
1780567832.46519,235.75005650520325,restart,9,5348248,5348248,restart
1780567835.251736,238.5366027355194,ils,210,5348248,5348248,status
1780567839.9115314,243.19639825820923,ils,215,5348248,5348248,status
1780567851.0719707,254.35683727264404,restart,10,5345656,5348248,restart
1780567852.0122273,255.2970941066742,ils,220,5342498,5348248,status
1780567856.681601,259.96646785736084,ils,225,5348248,5348248,status
1780567861.3538928,264.6387596130371,ils,230,5348248,5348248,status
1780567864.4366581,267.7215247154236,restart,11,5348248,5348248,restart
1780567867.2469885,270.53185534477234,ils,235,5348248,5348248,status
1780567871.9367676,275.22163438796997,ils,240,5343950,5348248,status
1780567876.6232648,279.90813159942627,ils,245,5348248,5348248,status
1780567881.2838051,284.5686719417572,ils,250,5348248,5348248,status
1780567882.488994,285.7738604545593,restart,12,5348248,5348248,restart
1780567887.130802,290.4156687259674,ils,255,5348248,5348248,status
1780567898.1162672,301.40113401412964,restart,13,5345656,5348248,restart
1780567899.0365515,302.3214182853699,ils,260,5348248,5348248,status
1780567903.7282481,307.0131149291992,ils,265,5348248,5348248,status
1780567908.6831245,311.9679911136627,restart,14,5317859,5348248,restart
1780567909.6232011,312.90806794166565,ils,270,5317960,5348248,status
1780567913.5913968,316.87626338005066,restart,15,5330120,5348248,restart
1780567915.4687371,318.7536039352417,ils,275,5330120,5348248,status
1780567923.6281006,326.9129672050476,restart,16,5344220,5348248,restart
1780567927.3648345,330.6497013568878,ils,280,5343950,5348248,status
1780567932.0130782,335.297945022583,ils,285,5348248,5348248,status
1780567936.6712446,339.9561114311218,ils,290,5348248,5348248,status
1780567941.3019953,344.58686208724976,ils,295,5348248,5348248,status
1780567943.4501061,346.7349727153778,restart,17,5348248,5348248,restart
1780567947.1821659,350.4670329093933,ils,300,5343950,5348248,status
1780567951.847817,355.1326835155487,ils,305,5348248,5348248,status
1780567956.4981592,359.7830259799957,ils,310,5348248,5348248,status
1780567957.7086701,360.9935369491577,restart,18,5348248,5348248,restart
1780567962.3935332,365.67840003967285,ils,315,5348248,5348248,status
1780567967.3322265,370.61709332466125,restart,19,5322233,5348248,restart
1780567968.2511382,371.5360050201416,ils,320,5330120,5348248,status
1780567972.2637184,375.5485849380493,restart,20,5348248,5348248,restart
1780567974.1423697,377.42723631858826,ils,325,5348248,5348248,status
1780567978.8025997,382.0874664783478,ils,330,5348248,5348248,status
1780567989.7143307,392.99919724464417,restart,21,5340296,5348248,restart
1780567990.6326535,393.9175202846527,ils,335,5345656,5348248,status
1780567995.2236464,398.508513212204,ils,340,5348248,5348248,status
1780567999.8888514,403.17371821403503,ils,345,5348248,5348248,status
1780568004.546912,407.83177876472473,ils,350,5348248,5348248,status
1780568009.2060113,412.490877866745,ils,355,5348248,5348248,status
1780568018.3587723,421.643639087677,restart,22,5345656,5348248,restart
1780568021.135584,424.420450925827,ils,360,5345656,5348248,status
1780568025.8314788,429.1163456439972,ils,365,5348248,5348248,status
1780568030.4812207,433.76608753204346,ils,370,5348248,5348248,status
1780568031.6896646,434.97453117370605,restart,23,5348248,5348248,restart
1780568036.3542755,439.6391427516937,ils,375,5348248,5348248,status
1780568047.390426,450.6752927303314,restart,24,5345656,5348248,restart
1780568048.3251255,451.6099922657013,ils,380,5345656,5348248,status
1780568052.9865947,456.271461725235,ils,385,5345656,5348248,status
1780568057.6606803,460.94554686546326,ils,390,5348248,5348248,status
1780568062.2938547,465.57872128486633,ils,395,5348248,5348248,status
1780568071.5018065,474.78667306900024,restart,25,5345656,5348248,restart
1780568074.2994342,477.58430075645447,ils,400,5345656,5348248,status
1780568078.9462645,482.23113107681274,ils,405,5348248,5348248,status
1780568083.5856392,486.8705060482025,ils,410,5348248,5348248,status
1780568085.7338653,489.01873207092285,restart,26,5348248,5348248,restart
1780568089.4680963,492.7529630661011,ils,415,5348248,5348248,status
1780568094.1451817,497.43004846572876,ils,420,5348248,5348248,status
1780568099.09983,502.3846969604492,restart,27,5330120,5348248,restart
1780568100.016196,503.30106258392334,ils,425,5330120,5348248,status
1780568103.073289,506.3581554889679,restart,28,5348248,5348248,restart
1780568105.8434763,509.12834310531616,ils,430,5348248,5348248,status
1780568110.489187,513.7740535736084,ils,435,5348248,5348248,status
1780568112.6136107,515.8984773159027,restart,29,5348248,5348248,restart
1780568116.3431683,519.6280348300934,ils,440,5348248,5348248,status
1780568121.0058212,524.2906877994537,ils,445,5348248,5348248,status
1780568128.400682,531.68554854393,restart,30,5348248,5348248,restart
1780568133.0531878,536.3380546569824,ils,450,5348248,5348248,status
1780568138.00848,541.2933466434479,restart,31,5348248,5348248,restart
1780568138.946432,542.2312989234924,ils,455,5343950,5348248,status
1780568143.6112967,546.8961637020111,ils,460,5348248,5348248,status
1780568148.261846,551.5467126369476,ils,465,5348248,5348248,status
1780568149.4731371,552.7580037117004,restart,32,5348248,5348248,restart
1780568154.1270268,557.4118933677673,ils,470,5348248,5348248,status
1780568159.0903635,562.3752300739288,restart,33,5260360,5348248,restart
1780568160.023489,563.308355808258,ils,475,5260360,5348248,status
1780568163.0799155,566.364782333374,restart,34,5348248,5348248,restart
1780568165.8855262,569.1703929901123,ils,480,5348248,5348248,status
1780568170.5431724,573.8280391693115,ils,485,5348248,5348248,status
1780568175.234917,578.5197837352753,ils,490,5343950,5348248,status
1780568179.885362,583.1702289581299,ils,495,5348248,5348248,status
1780568184.5319304,587.8167972564697,ils,500,5348248,5348248,status
1780568188.7198617,592.0047283172607,ils,505,5348248,5348248,status
1780568190.8245816,594.1094481945038,restart,35,5317960,5348248,restart
1780568192.205174,595.4900405406952,ils,510,5323174,5348248,status
1780568193.7940626,597.0789291858673,restart,36,5292917,5348248,restart
1780568194.3093276,597.5941941738129,ils,515,5292917,5348248,status
1780568194.792282,598.0771486759186,restart,37,5348248,5348248,restart
1780568195.4330835,598.7179505825043,ils,520,5348248,5348248,status
1780568195.9794288,599.2642953395844,ils,525,5348248,5348248,status
1780568196.098778,599.3836445808411,restart,38,5222996,5348248,restart
1780568196.445257,599.7301235198975,restart,39,5260360,5348248,restart
1780568196.6184838,599.9033505916595,ils,530,5260360,5348248,status
1780568196.9160302,600.2008967399597,restart,40,5076077,5348248,restart
1780568196.916911,600.2017753124237,final,531,5348248,5348248,done_round_8
