status,algorithm,run_label,variant,component,omitted_operator,instance,dataset,seed,param_set,total_budget_s,time_limit_s,init_max_time_s,initial_score,final_score,upper_bound,gap_to_bound_pct,improvement_pct,elapsed_s,output_path,log_csv,operator_stats_csv,git_commit,git_dirty,python_version,platform,error
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_2.txt,synthetic,45,irace_final,720.000000,600.000000,120.000000,20787497,20788061,28431059,26.882565,0.002713,693.176438,output/experiments_full/ILS_iRace/full/seed_045/input/synthetic/synthetic_2.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_2.txt,synthetic,67,irace_final,720.000000,600.000000,120.000000,20767890,20783931,28431059,26.897092,0.077239,694.039071,output/experiments_full/ILS_iRace/full/seed_067/input/synthetic/synthetic_2.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_2.txt,synthetic,78,irace_final,720.000000,600.000000,120.000000,20765552,20765552,28431059,26.961736,0.000000,691.628762,output/experiments_full/ILS_iRace/full/seed_078/input/synthetic/synthetic_2.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_3.txt,synthetic,1,irace_final,720.000000,600.000000,120.000000,699344,699435,12325659,94.325374,0.013012,611.815847,output/experiments_full/ILS_iRace/full/seed_001/input/synthetic/synthetic_3.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_3.txt,synthetic,12,irace_final,720.000000,600.000000,120.000000,699047,699336,12325659,94.326178,0.041342,611.150472,output/experiments_full/ILS_iRace/full/seed_012/input/synthetic/synthetic_3.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_2.txt,synthetic,89,irace_final,720.000000,600.000000,120.000000,20771065,20802039,28431059,26.833401,0.149121,659.333433,output/experiments_full/ILS_iRace/full/seed_089/input/synthetic/synthetic_2.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_2.txt,synthetic,100,irace_final,720.000000,600.000000,120.000000,20766727,20784431,28431059,26.895333,0.085252,659.432813,output/experiments_full/ILS_iRace/full/seed_100/input/synthetic/synthetic_2.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_3.txt,synthetic,23,irace_final,720.000000,600.000000,120.000000,699047,699291,12325659,94.326543,0.034905,611.154632,output/experiments_full/ILS_iRace/full/seed_023/input/synthetic/synthetic_3.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_3.txt,synthetic,34,irace_final,720.000000,600.000000,120.000000,699373,699373,12325659,94.325877,0.000000,611.003049,output/experiments_full/ILS_iRace/full/seed_034/input/synthetic/synthetic_3.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_3.txt,synthetic,45,irace_final,720.000000,600.000000,120.000000,699186,699688,12325659,94.323322,0.071798,611.493015,output/experiments_full/ILS_iRace/full/seed_045/input/synthetic/synthetic_3.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_3.txt,synthetic,56,irace_final,720.000000,600.000000,120.000000,699047,699138,12325659,94.327784,0.013018,609.049907,output/experiments_full/ILS_iRace/full/seed_056/input/synthetic/synthetic_3.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_3.txt,synthetic,67,irace_final,720.000000,600.000000,120.000000,699047,699102,12325659,94.328076,0.007868,611.113597,output/experiments_full/ILS_iRace/full/seed_067/input/synthetic/synthetic_3.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_3.txt,synthetic,78,irace_final,720.000000,600.000000,120.000000,699047,699047,12325659,94.328522,0.000000,610.902247,output/experiments_full/ILS_iRace/full/seed_078/input/synthetic/synthetic_3.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
ok,ILS_iRace,full,full,full,,input/synthetic/synthetic_3.txt,synthetic,100,irace_final,720.000000,600.000000,120.000000,699047,699336,12325659,94.326178,0.041342,608.931318,output/experiments_full/ILS_iRace/full/seed_100/input/synthetic/synthetic_3.txt,,,81d9c01243f83bdbab85da558968c354b2a154a0,true,3.11.2,Linux-6.1.0-44-cloud-amd64-x86_64-with-glibc2.36,
