timestamp,elapsed_s,phase,round,current_score,best_score,event
1780565165.7085047,17.922180652618408,construction,0,60713936,60713936,initial
1780565165.713048,0.004522085189819336,initial_ls,0,60713936,60713936,skipped
1780565167.3782284,1.6697027683258057,ils,1,60961958,60961958,new_best
1780565173.9173176,8.208791494369507,ils,5,60961958,60961958,status
1780565182.1081498,16.39962339401245,ils,10,60961958,60961958,status
1780565198.7475536,33.039026737213135,restart,1,60961958,60961958,restart
1780565207.3347719,41.626246213912964,ils,15,60961958,60961958,status
1780565215.670538,49.962011098861694,restart,2,60498428,60961958,restart
1780565218.0920622,52.383535861968994,ils,20,60605984,60961958,status
1780565229.924262,64.215735912323,ils,25,60498428,60961958,status
1780565254.8545408,89.14601397514343,restart,3,60961958,60961958,restart
1780565256.5707054,90.86217904090881,ils,30,60961958,60961958,status
1780565264.9928293,99.2843029499054,ils,35,60961958,60961958,status
1780565271.9201338,106.21160674095154,restart,4,59368961,60961958,restart
1780565276.8273559,111.11882948875427,ils,40,60498428,60961958,status
1780565286.9734595,121.26493239402771,ils,45,60605984,60961958,status
1780565304.3265057,138.61797857284546,restart,5,60961958,60961958,restart
1780565312.6977954,146.98926877975464,ils,50,60961958,60961958,status
1780565321.350181,155.64165425300598,restart,6,58608545,60961958,restart
1780565323.958124,158.24959778785706,ils,55,59430621,60961958,status
1780565332.1800544,166.47152733802795,restart,7,60961958,60961958,restart
1780565335.5479827,169.83945631980896,ils,60,60961958,60961958,status
1780565344.0632834,178.3547568321228,ils,65,60961958,60961958,status
1780565364.8065097,199.09798288345337,restart,8,60961958,60961958,restart
1780565369.7801163,204.07158994674683,ils,70,60961958,60961958,status
1780565377.8279097,212.11938381195068,ils,75,60961958,60961958,status
1780565396.0076005,230.29907369613647,restart,9,60961958,60961958,restart
1780565402.6928003,236.98427391052246,ils,80,60961958,60961958,status
1780565410.8766267,245.16810035705566,ils,85,60961958,60961958,status
1780565412.6056135,246.8970866203308,restart,10,60498428,60961958,restart
1780565438.8127975,273.10427069664,restart,11,60961958,60961958,restart
1780565440.4535172,274.74499130249023,ils,90,60961958,60961958,status
1780565449.1122117,283.4036853313446,ils,95,60961958,60961958,status
1780565455.9180493,290.20952224731445,restart,12,58608545,60961958,restart
1780565460.6509268,294.94240045547485,ils,100,59402211,60961958,status
1780565465.5684862,299.8599591255188,restart,13,60961958,60961958,restart
1780565470.6761518,304.96762585639954,ils,105,60961958,60961958,status
1780565478.9426146,313.2340884208679,ils,110,60961958,60961958,status
1780565487.4403098,321.73178362846375,ils,115,60961958,60961958,status
1780565510.5256493,344.81712222099304,restart,14,60961958,60961958,restart
1780565513.7950153,348.0864894390106,ils,120,60961958,60961958,status
1780565522.1749105,356.4663841724396,ils,125,60961958,60961958,status
1780565544.3827589,378.674232006073,restart,15,60961958,60961958,restart
1780565549.5011282,383.79260182380676,ils,130,60961958,60961958,status
1780565557.9318924,392.22336626052856,ils,135,60961958,60961958,status
1780565561.3239882,395.6154613494873,restart,16,60961958,60961958,restart
1780565568.0161986,402.3076720237732,ils,140,60961958,60961958,status
1780565576.4050596,410.696533203125,ils,145,60961958,60961958,status
1780565594.5612183,428.85269141197205,restart,17,60961958,60961958,restart
1780565602.9801726,437.2716462612152,ils,150,60961958,60961958,status
1780565611.5788155,445.8702883720398,restart,18,59029771,60961958,restart
1780565613.8913393,448.18281292915344,ils,155,60498428,60961958,status
1780565624.3131275,458.60460090637207,ils,160,60498428,60961958,status
1780565625.9867942,460.27826738357544,restart,19,60961958,60961958,restart
1780565634.3253841,468.61685848236084,ils,165,60961958,60961958,status
1780565642.7858052,477.07727813720703,restart,20,60961958,60961958,restart
1780565644.4362314,478.72770500183105,ils,170,60961958,60961958,status
1780565652.6290421,486.92051553726196,ils,175,60961958,60961958,status
1780565659.3808439,493.6723167896271,restart,21,60961958,60961958,restart
1780565662.7365708,497.028044462204,ils,180,60961958,60961958,status
1780565671.141032,505.43250608444214,ils,185,60961958,60961958,status
1780565692.5715547,526.8630275726318,restart,22,60961958,60961958,restart
1780565697.7459536,532.0374271869659,ils,190,60961958,60961958,status
1780565706.2132967,540.5047700405121,ils,195,60961958,60961958,status
1780565720.7155104,555.0069832801819,restart,23,60959558,60961958,restart
1780565727.4611886,561.7526621818542,ils,200,60961958,60961958,status
1780565735.9057615,570.1972351074219,ils,205,60961958,60961958,status
1780565739.2824326,573.5739054679871,restart,24,60961958,60961958,restart
1780565745.9999433,580.29141664505,ils,210,60961958,60961958,status
1780565754.2370224,588.5284957885742,ils,215,60961958,60961958,status
1780565755.746859,590.0383319854736,restart,25,60961958,60961958,restart
1780565760.6186402,594.9101130962372,ils,220,60961958,60961958,status
1780565764.6412208,598.9326939582825,restart,26,58515272,60961958,restart
1780565765.7863188,600.0777916908264,ils,225,58515272,60961958,status
1780565765.7863402,600.0778119564056,final,225,60961958,60961958,done_round_1
