timestamp,elapsed_s,phase,round,current_score,best_score,event
1780564579.3719814,16.70079278945923,construction,0,60713936,60713936,initial
1780564579.3762393,0.004239320755004883,initial_ls,0,60713936,60713936,skipped
1780564581.1343136,1.762312889099121,ils,1,60961958,60961958,new_best
1780564587.9427648,8.570764064788818,ils,5,60961958,60961958,status
1780564596.0296195,16.65761971473694,ils,10,60961958,60961958,status
1780564597.822457,18.450456142425537,restart,1,60961958,60961958,restart
1780564605.9981353,26.626134634017944,ils,15,60961958,60961958,status
1780564614.2988105,34.926809310913086,restart,2,60961958,60961958,restart
1780564615.9436684,36.57166814804077,ils,20,60961958,60961958,status
1780564624.180931,44.80893063545227,ils,25,60961958,60961958,status
1780564630.828358,51.45635676383972,restart,3,60961958,60961958,restart
1780564634.1207328,54.748732805252075,ils,30,60961958,60961958,status
1780564642.3648338,62.992833375930786,ils,35,60961958,60961958,status
1780564662.3077502,82.93574905395508,restart,4,60961958,60961958,restart
1780564667.1966734,87.82467293739319,ils,40,60961958,60961958,status
1780564675.4247305,96.05273032188416,ils,45,60961958,60961958,status
1780564693.673777,114.30177617073059,restart,5,60961958,60961958,restart
1780564700.204265,120.83226490020752,ils,50,60961958,60961958,status
1780564708.701077,129.32907629013062,ils,55,60961958,60961958,status
1780564725.4697013,146.09770011901855,restart,6,60959558,60961958,restart
1780564733.5626311,154.19063091278076,ils,60,60961958,60961958,status
1780564741.9655857,162.593585729599,ils,65,60961958,60961958,status
1780564758.7030828,179.33108162879944,restart,7,60961958,60961958,restart
1780564767.0039744,187.63197374343872,ils,70,60961958,60961958,status
1780564775.349996,195.97799491882324,restart,8,60961958,60961958,restart
1780564776.979186,197.6071858406067,ils,75,60961958,60961958,status
1780564785.1441202,205.77211999893188,ils,80,60961958,60961958,status
1780564806.7143905,227.34238934516907,restart,9,60959558,60961958,restart
1780564810.1693544,230.79735445976257,ils,85,60961958,60961958,status
1780564818.5538568,239.1818563938141,ils,90,60961958,60961958,status
1780564826.6708572,247.2988564968109,ils,95,60961958,60961958,status
1780564846.4551053,267.08310413360596,restart,10,60961958,60961958,restart
1780564851.5239525,272.1519515514374,ils,100,60961958,60961958,status
1780564859.917934,280.5459337234497,ils,105,60961958,60961958,status
1780564868.1805358,288.80853509902954,ils,110,60961958,60961958,status
1780564876.5749733,297.2029721736908,restart,11,60961958,60961958,restart
1780564878.3730998,299.00109910964966,ils,115,60961958,60961958,status
1780564886.5514138,307.17941331863403,ils,120,60961958,60961958,status
1780564908.1692588,328.79725766181946,restart,12,60961958,60961958,restart
1780564911.4113681,332.03936767578125,ils,125,60961958,60961958,status
1780564919.547866,340.175865650177,ils,130,60961958,60961958,status
1780564940.4776466,361.1056454181671,restart,13,60961958,60961958,restart
1780564945.54099,366.1689898967743,ils,135,60961958,60961958,status
1780564953.7924392,374.42043924331665,ils,140,60961958,60961958,status
1780564960.541795,381.1697940826416,restart,14,60961958,60961958,restart
1780564963.8244214,384.4524209499359,ils,145,60961958,60961958,status
1780564971.9636347,392.5916340351105,ils,150,60961958,60961958,status
1780564992.0306044,412.6586034297943,restart,15,60961958,60961958,restart
1780564997.0580485,417.68604826927185,ils,155,60961958,60961958,status
1780565005.2839608,425.91196036338806,ils,160,60961958,60961958,status
1780565013.790342,434.418340921402,restart,16,60961958,60961958,restart
1780565015.4309278,436.05892753601074,ils,165,60961958,60961958,status
1780565023.623498,444.25149750709534,ils,170,60961958,60961958,status
1780565045.3458517,465.9738507270813,restart,17,60961958,60961958,restart
1780565048.6185963,469.24659609794617,ils,175,60961958,60961958,status
1780565057.1453109,477.77331042289734,ils,180,60961958,60961958,status
1780565077.3307128,497.9587118625641,restart,18,60959558,60961958,restart
1780565082.3800464,503.00804591178894,ils,185,60961958,60961958,status
1780565090.5105302,511.1385295391083,ils,190,60961958,60961958,status
1780565095.6157017,516.2437007427216,restart,19,59395018,60961958,restart
1780565102.5699751,523.1979746818542,ils,195,60608703,60961958,status
1780565119.3160887,539.9440875053406,restart,20,60961958,60961958,restart
1780565125.9099143,546.5379137992859,ils,200,60961958,60961958,status
1780565134.2590213,554.8870210647583,ils,205,60961958,60961958,status
1780565136.0047047,556.6327035427094,restart,21,60961958,60961958,restart
1780565144.6450548,565.2730543613434,ils,210,60961958,60961958,status
1780565153.1401627,573.768162727356,ils,215,60961958,60961958,status
1780565156.5540984,577.182097196579,restart,22,60961958,60961958,restart
1780565163.3702374,583.9982371330261,ils,220,60961958,60961958,status
1780565170.5047097,591.1327092647552,ils,225,60961958,60961958,status
1780565171.690117,592.3181157112122,restart,23,60961958,60961958,restart
1780565175.8460329,596.4740326404572,ils,230,60961958,60961958,status
1780565178.520509,599.1485078334808,restart,24,60961958,60961958,restart
1780565179.0623753,599.6903741359711,ils,235,60961958,60961958,status
1780565179.8533485,600.481342792511,final,236,60961958,60961958,done_round_1
