status,algorithm,run_label,instance,dataset,seed,final_score,elapsed_s
ok,Greedy,baseline_milp,input/real_world/B1800k_L135_D270.txt,real_world,1,57146652,
missing,MILP1,baseline_milp,input/real_world/B1800k_L135_D270.txt,real_world,1,,
ok,SAT,baseline_milp,input/real_world/B1800k_L135_D270.txt,real_world,1,57550484,
ok,SA,baseline_milp,input/real_world/B1800k_L135_D270.txt,real_world,1,56194617,
ok,MILP2,baseline_milp,input/real_world/B1800k_L135_D270.txt,real_world,1,56194617,
ok,Greedy+MILP,baseline_milp,input/real_world/B180k_L85_D170.txt,real_world,1,30326321,
ok,Greedy,baseline_milp,input/real_world/B180k_L85_D170.txt,real_world,1,30326321,
missing,MILP1,baseline_milp,input/real_world/B180k_L85_D170.txt,real_world,1,,
ok,SAT,baseline_milp,input/real_world/B180k_L85_D170.txt,real_world,1,27926030,
ok,SA,baseline_milp,input/real_world/B180k_L85_D170.txt,real_world,1,31504169,
ok,MILP2,baseline_milp,input/real_world/B180k_L85_D170.txt,real_world,1,31504169,
ok,Greedy+MILP,baseline_milp,input/real_world/B18k_L50_D100.txt,real_world,1,6027559,
ok,Greedy,baseline_milp,input/real_world/B18k_L50_D100.txt,real_world,1,6027559,
missing,MILP1,baseline_milp,input/real_world/B18k_L50_D100.txt,real_world,1,,
ok,SAT,baseline_milp,input/real_world/B18k_L50_D100.txt,real_world,1,6247405,
ok,SA,baseline_milp,input/real_world/B18k_L50_D100.txt,real_world,1,6817337,
ok,MILP2,baseline_milp,input/real_world/B18k_L50_D100.txt,real_world,1,6817337,
ok,Greedy+MILP,baseline_milp,input/real_world/B1k_L18_D17.txt,real_world,1,116176,
ok,Greedy,baseline_milp,input/real_world/B1k_L18_D17.txt,real_world,1,116176,
ok,MILP1,baseline_milp,input/real_world/B1k_L18_D17.txt,real_world,1,110125,
ok,SAT,baseline_milp,input/real_world/B1k_L18_D17.txt,real_world,1,127579,
ok,SA,baseline_milp,input/real_world/B1k_L18_D17.txt,real_world,1,102814,
ok,MILP2,baseline_milp,input/real_world/B1k_L18_D17.txt,real_world,1,69397,
ok,Greedy+MILP,baseline_milp,input/real_world/B2.5k_L25_D50.txt,real_world,1,554046,
ok,Greedy,baseline_milp,input/real_world/B2.5k_L25_D50.txt,real_world,1,554046,
ok,MILP1,baseline_milp,input/real_world/B2.5k_L25_D50.txt,real_world,1,662465,
ok,SAT,baseline_milp,input/real_world/B2.5k_L25_D50.txt,real_world,1,591214,
ok,SA,baseline_milp,input/real_world/B2.5k_L25_D50.txt,real_world,1,615177,
ok,MILP2,baseline_milp,input/real_world/B2.5k_L25_D50.txt,real_world,1,591214,
ok,Greedy+MILP,baseline_milp,input/real_world/B2000k_L140_D280.txt,real_world,1,50245011,
ok,Greedy,baseline_milp,input/real_world/B2000k_L140_D280.txt,real_world,1,50245011,
missing,MILP1,baseline_milp,input/real_world/B2000k_L140_D280.txt,real_world,1,,
ok,SAT,baseline_milp,input/real_world/B2000k_L140_D280.txt,real_world,1,49660568,
ok,SA,baseline_milp,input/real_world/B2000k_L140_D280.txt,real_world,1,49660568,
ok,MILP2,baseline_milp,input/real_world/B2000k_L140_D280.txt,real_world,1,49660568,
ok,Greedy+MILP,baseline_milp,input/real_world/B240k_L90_D180.txt,real_world,1,27840091,
ok,Greedy,baseline_milp,input/real_world/B240k_L90_D180.txt,real_world,1,27840091,
missing,MILP1,baseline_milp,input/real_world/B240k_L90_D180.txt,real_world,1,,
ok,SAT,baseline_milp,input/real_world/B240k_L90_D180.txt,real_world,1,28275299,
ok,SA,baseline_milp,input/real_world/B240k_L90_D180.txt,real_world,1,28275299,
ok,MILP2,baseline_milp,input/real_world/B240k_L90_D180.txt,real_world,1,28275299,
ok,Greedy+MILP,baseline_milp,input/real_world/B25k_L55_D110.txt,real_world,1,8075887,
ok,Greedy,baseline_milp,input/real_world/B25k_L55_D110.txt,real_world,1,8075887,
missing,MILP1,baseline_milp,input/real_world/B25k_L55_D110.txt,real_world,1,,
ok,SAT,baseline_milp,input/real_world/B25k_L55_D110.txt,real_world,1,7011691,
ok,SA,baseline_milp,input/real_world/B25k_L55_D110.txt,real_world,1,7637327,
ok,MILP2,baseline_milp,input/real_world/B25k_L55_D110.txt,real_world,1,7637327,
ok,Greedy+MILP,baseline_milp,input/real_world/B300_L11_D20.txt,real_world,1,20683,
ok,Greedy,baseline_milp,input/real_world/B300_L11_D20.txt,real_world,1,20683,
ok,MILP1,baseline_milp,input/real_world/B300_L11_D20.txt,real_world,1,22085,
ok,SAT,baseline_milp,input/real_world/B300_L11_D20.txt,real_world,1,20683,
ok,SA,baseline_milp,input/real_world/B300_L11_D20.txt,real_world,1,20683,
ok,MILP2,baseline_milp,input/real_world/B300_L11_D20.txt,real_world,1,20683,
ok,Greedy+MILP,baseline_milp,input/real_world/B300k_L95_D190.txt,real_world,1,27347642,
ok,Greedy,baseline_milp,input/real_world/B300k_L95_D190.txt,real_world,1,27347642,
missing,MILP1,baseline_milp,input/real_world/B300k_L95_D190.txt,real_world,1,,
ok,SAT,baseline_milp,input/real_world/B300k_L95_D190.txt,real_world,1,26273080,
ok,SA,baseline_milp,input/real_world/B300k_L95_D190.txt,real_world,1,26273080,
ok,MILP2,baseline_milp,input/real_world/B300k_L95_D190.txt,real_world,1,27565871,
ok,Greedy+MILP,baseline_milp,input/real_world/B35k_L60_D120.txt,real_world,1,10700619,
ok,Greedy,baseline_milp,input/real_world/B35k_L60_D120.txt,real_world,1,10700619,
missing,MILP1,baseline_milp,input/real_world/B35k_L60_D120.txt,real_world,1,,
ok,SAT,baseline_milp,input/real_world/B35k_L60_D120.txt,real_world,1,11220952,
ok,SA,baseline_milp,input/real_world/B35k_L60_D120.txt,real_world,1,11006520,
ok,MILP2,baseline_milp,input/real_world/B35k_L60_D120.txt,real_world,1,11095874,
ok,Greedy+MILP,baseline_milp,input/real_world/B450k_L100_D200.txt,real_world,1,33798633,
ok,Greedy,baseline_milp,input/real_world/B450k_L100_D200.txt,real_world,1,33798633,
missing,MILP1,baseline_milp,input/real_world/B450k_L100_D200.txt,real_world,1,,
ok,SAT,baseline_milp,input/real_world/B450k_L100_D200.txt,real_world,1,35998267,
ok,SA,baseline_milp,input/real_world/B450k_L100_D200.txt,real_world,1,36647224,
ok,MILP2,baseline_milp,input/real_world/B450k_L100_D200.txt,real_world,1,36647224,
ok,Greedy+MILP,baseline_milp,input/real_world/B48k_L65_D130.txt,real_world,1,15135678,
ok,Greedy,baseline_milp,input/real_world/B48k_L65_D130.txt,real_world,1,15135678,
missing,MILP1,baseline_milp,input/real_world/B48k_L65_D130.txt,real_world,1,,
ok,SAT,baseline_milp,input/real_world/B48k_L65_D130.txt,real_world,1,14690637,
ok,SA,baseline_milp,input/real_world/B48k_L65_D130.txt,real_world,1,14690637,
ok,MILP2,baseline_milp,input/real_world/B48k_L65_D130.txt,real_world,1,14690637,
ok,Greedy+MILP,baseline_milp,input/real_world/B4k_L30_D60.txt,real_world,1,1242400,
ok,Greedy,baseline_milp,input/real_world/B4k_L30_D60.txt,real_world,1,1242400,
ok,MILP1,baseline_milp,input/real_world/B4k_L30_D60.txt,real_world,1,1383173,
ok,SAT,baseline_milp,input/real_world/B4k_L30_D60.txt,real_world,1,1187061,
ok,SA,baseline_milp,input/real_world/B4k_L30_D60.txt,real_world,1,1267927,
ok,MILP2,baseline_milp,input/real_world/B4k_L30_D60.txt,real_world,1,1311886,
ok,Greedy+MILP,baseline_milp,input/real_world/B500_L14_D18.txt,real_world,1,36114,
ok,Greedy,baseline_milp,input/real_world/B500_L14_D18.txt,real_world,1,36114,
ok,MILP1,baseline_milp,input/real_world/B500_L14_D18.txt,real_world,1,48465,
ok,SAT,baseline_milp,input/real_world/B500_L14_D18.txt,real_world,1,48465,
ok,SA,baseline_milp,input/real_world/B500_L14_D18.txt,real_world,1,48465,
ok,MILP2,baseline_milp,input/real_world/B500_L14_D18.txt,real_world,1,48465,
ok,Greedy+MILP,baseline_milp,input/real_world/B50_L5_D4.txt,real_world,1,581,
ok,Greedy,baseline_milp,input/real_world/B50_L5_D4.txt,real_world,1,581,
ok,MILP1,baseline_milp,input/real_world/B50_L5_D4.txt,real_world,1,581,
ok,SAT,baseline_milp,input/real_world/B50_L5_D4.txt,real_world,1,471,
ok,SA,baseline_milp,input/real_world/B50_L5_D4.txt,real_world,1,471,
ok,MILP2,baseline_milp,input/real_world/B50_L5_D4.txt,real_world,1,222,
ok,Greedy+MILP,baseline_milp,input/real_world/B50k_L400_D28.txt,real_world,1,80473,
ok,Greedy,baseline_milp,input/real_world/B50k_L400_D28.txt,real_world,1,80473,
ok,MILP1,baseline_milp,input/real_world/B50k_L400_D28.txt,real_world,1,112079,
ok,SAT,baseline_milp,input/real_world/B50k_L400_D28.txt,real_world,1,113300,
ok,SA,baseline_milp,input/real_world/B50k_L400_D28.txt,real_world,1,115710,
